horizon_slice,dgp,dgp_label,correct_model,n,method,mean_MASE,median_MASE,mean_RMSSE,mean_sMAPE,mean_SPL,n_series,n_missing
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,96,SeasonalNaive,0.9690419837074928,0.7458245556901673,0.7769059262806947,2.2163218338096464,0.38507018586565667,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,96,Theta,2.555691884371473,2.3685711071276745,2.061068373354388,5.944416431143867,1.043945212087156,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,96,TimesFM3,1.2655587374455124,1.1677781985879894,1.016411855919965,2.907646637464544,0.48877713177990456,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,200,AutoARIMA,0.7799242182778541,0.6824938174128271,0.6246462321036765,2.124021052235161,0.297936542891436,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,200,AutoETS,1.025981890673805,0.9106783271594225,0.8217664020741315,2.7713429198225157,0.39997318543851695,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,200,Combination,1.3377607846368975,1.106455480161503,1.0713653678345445,3.7075046537843694,0.5209204237305686,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,200,SeasonalNaive,1.0798095963416552,0.9217287730558228,0.8646157756523186,2.9225910761088034,0.4172886436596649,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,200,Theta,3.1003967715564738,2.7216134042314337,2.482297191172474,8.504343315957007,1.2436598633130294,200,0
h1,D4,"SARIMA(1,0,0)(1,1,0)[12]",ARIMA,200,TimesFM3,1.167632610186941,1.0429278603032113,0.9341060084839805,3.160441761829843,0.4500525043411658,200,0
h1,D5,"ETS(A,A,A)",ETS,24,AutoARIMA,1.1141719084579162,0.9387006698962095,0.9306666106953666,3.0014867915882957,0.43668551954222873,200,0
h1,D5,"ETS(A,A,A)",ETS,24,AutoETS,2.0782430318345226,1.8774904614896224,1.740551921183747,5.454078296501475,0.7749228303033925,200,0
h1,D5,"ETS(A,A,A)",ETS,24,Combination,1.6595811236689735,1.4311741315070718,1.3940357724217014,4.4437143677944,0.6224834639405972,200,0
h1,D5,"ETS(A,A,A)",ETS,24,SeasonalNaive,1.1178042459555102,1.0103951821333186,0.9445455361498035,3.192037028490217,0.4206246540675928,200,0
h1,D5,"ETS(A,A,A)",ETS,24,Theta,2.139117352660755,2.006714535920957,1.7903099208725866,5.591267964152958,0.7786036481894877,200,0
h1,D5,"ETS(A,A,A)",ETS,24,TimesFM3,0.9751667112827647,0.7824119542418438,0.8169115036603647,2.560750483153451,0.37950314716149,200,0
h1,D5,"ETS(A,A,A)",ETS,48,AutoARIMA,0.6001063075292992,0.4715341350310382,0.4996461880357508,1.6613230768667275,0.22894643089306282,200,0
h1,D5,"ETS(A,A,A)",ETS,48,AutoETS,0.5647054443335118,0.4325950270678608,0.4697334782389875,1.5515880070194177,0.21740366520728796,200,0
h1,D5,"ETS(A,A,A)",ETS,48,Combination,0.5592204898759198,0.44158924374887004,0.4645926227419435,1.5423260629823579,0.21336592320981576,200,0
h1,D5,"ETS(A,A,A)",ETS,48,SeasonalNaive,1.1130930327933293,1.0204400901073167,0.9304652789486316,3.2751579372343604,0.4155910649942864,200,0
h1,D5,"ETS(A,A,A)",ETS,48,Theta,0.6790719919699683,0.5233721884835227,0.567417150177718,2.0012280278510444,0.25917112033497947,200,0
h1,D5,"ETS(A,A,A)",ETS,48,TimesFM3,0.6498226804204696,0.5194470056366669,0.5387808059902133,1.763983851796827,0.24564213320928074,200,0
h1,D5,"ETS(A,A,A)",ETS,96,AutoARIMA,0.5837335691371726,0.4603742492469033,0.4807899823166933,1.5482968487467819,0.22706675893525982,200,0
h1,D5,"ETS(A,A,A)",ETS,96,AutoETS,0.6019789806600517,0.46320489751107025,0.4968147136566112,1.612837660371434,0.23415956144437583,200,0
h1,D5,"ETS(A,A,A)",ETS,96,Combination,0.5689774967406814,0.4235045664499453,0.4687389261679333,1.512788339184953,0.22133195652241192,200,0
h1,D5,"ETS(A,A,A)",ETS,96,SeasonalNaive,1.0527120732391417,0.9727338131672976,0.8784443065210132,3.0069414031537525,0.39104753228836336,200,0
h1,D5,"ETS(A,A,A)",ETS,96,Theta,0.5798913712894391,0.45280354458354244,0.4778956527993465,1.5476691583218585,0.22807746038713866,200,0
h1,D5,"ETS(A,A,A)",ETS,96,TimesFM3,0.585704936510457,0.45070997950586844,0.4816009219264097,1.545004185815921,0.228982275232026,200,0
h1,D5,"ETS(A,A,A)",ETS,200,AutoARIMA,0.4881617844410631,0.4051648373282521,0.4022471476574556,1.3634533126373918,0.1893971702858755,200,0
