horizon_slice,dgp,dgp_label,n,method,cover60,cover80,width60,width80
h1,D7,Logistic growth,200,Theta,0.625,0.835,1.8797855799824095,2.9571274805628995
h1,D7,Logistic growth,200,TimesFM3,0.58,0.785,1.496224614953945,2.398819451956633
h1,D8,Intermittent demand,24,AutoARIMA,0.68,0.77,1.836265174713704,2.7961135194024305
h1,D8,Intermittent demand,24,AutoETS,0.73,0.8,2.007667802933308,3.057111338576705
h1,D8,Intermittent demand,24,Combination,0.695,0.805,1.9078178606597331,2.936645084711421
h1,D8,Intermittent demand,24,SeasonalNaive,0.635,0.76,2.6236945284030817,3.995146149190481
h1,D8,Intermittent demand,24,Theta,0.62,0.805,1.8795206043321866,2.9567103961551275
h1,D8,Intermittent demand,24,TimesFM3,0.575,0.815,1.4857091829916,2.6594101280656344
h1,D8,Intermittent demand,48,AutoARIMA,0.72,0.81,1.9003557879443091,2.8937054318280566
h1,D8,Intermittent demand,48,AutoETS,0.77,0.835,1.9912076621720123,3.032047190572535
h1,D8,Intermittent demand,48,Combination,0.75,0.83,1.9440877072365481,2.9929016668065227
h1,D8,Intermittent demand,48,SeasonalNaive,0.65,0.75,2.684200481569705,4.087279636217976
h1,D8,Intermittent demand,48,Theta,0.635,0.845,1.940699671593323,3.0529523780189747
h1,D8,Intermittent demand,48,TimesFM3,0.515,0.705,1.613204956313843,2.6040551968790653
h1,D8,Intermittent demand,96,AutoARIMA,0.76,0.865,1.853706847572253,2.8226722637234336
h1,D8,Intermittent demand,96,AutoETS,0.795,0.88,1.8992111014503106,2.8919623974202704
h1,D8,Intermittent demand,96,Combination,0.79,0.865,1.8806464886529313,2.895430374691777
h1,D8,Intermittent demand,96,SeasonalNaive,0.645,0.8,2.636283497112249,4.014315594915292
h1,D8,Intermittent demand,96,Theta,0.68,0.875,1.8890215169362294,2.971656462931627
h1,D8,Intermittent demand,96,TimesFM3,0.555,0.805,1.660618094401994,2.530843719097163
h1,D8,Intermittent demand,200,AutoARIMA,0.71,0.81,1.8667367450919263,2.8425131195610813
h1,D8,Intermittent demand,200,AutoETS,0.725,0.81,1.888960380968353,2.87635344370383
h1,D8,Intermittent demand,200,Combination,0.73,0.81,1.8817201741212783,2.8970727198610047
h1,D8,Intermittent demand,200,SeasonalNaive,0.61,0.745,2.6358402828589216,4.013640704718177
h1,D8,Intermittent demand,200,Theta,0.635,0.81,1.8894633963035563,2.9723515963181035
h1,D8,Intermittent demand,200,TimesFM3,0.5,0.78,1.767538423034383,2.5795743966532667
h1,D9,"AR(1) with GARCH(1,1) errors",24,AutoARIMA,0.515,0.71,1.8349624150441866,2.7941297841692903
h1,D9,"AR(1) with GARCH(1,1) errors",24,AutoETS,0.585,0.725,2.041141147688381,3.108081793769196
h1,D9,"AR(1) with GARCH(1,1) errors",24,Combination,0.56,0.73,1.9136685864448273,2.945308410599942
