unique_id,origin,method,MASE,RMSSE,sMAPE,MAPE,SPL,cover60,cover80,width60,width80,denom_ok
M13897,0,TimesFM3,0.25347664915062135,0.24692984930958917,1.3739608137031647,1.3734782409631507,0.10370785805052679,0.6111111111111112,0.8888888888888888,0.7180154277922284,1.160249823415961,True
M13897,1,SeasonalNaive,0.3048357729850635,0.2893319682411442,1.781737896475529,1.7605946648240132,0.19641597669452782,1.0,1.0,2.3463938705343836,3.5728955237998727,True
M13897,1,Theta,0.22937176728061656,0.2389252637824627,1.3347076692434685,1.3342210126844312,0.13184407174188767,0.8888888888888888,1.0,1.3801951164556767,2.1038128663248723,True
M13897,1,AutoETS,0.3595674702261016,0.3451347462461645,2.0645065065185433,2.092043195112277,0.14646941632875682,1.0,1.0,1.4245031933565357,2.16911625413642,True
M13897,1,AutoARIMA,0.30991975907145836,0.3030743004109215,1.7831537875422885,1.803371981010691,0.1385622227326922,1.0,1.0,1.4315103947264782,2.1797862438271642,True
M13897,1,Combination,0.2666129205107292,0.26720369378949765,1.5375004858000973,1.5516506573003193,0.13080732186954902,1.0,1.0,1.4120695681795634,2.150905121429486,True
M13897,1,TimesFM3,0.35347549264412115,0.3440123011539665,2.028394109130439,2.054608785957414,0.12486175659215337,0.4444444444444444,0.8888888888888888,0.6141139061175334,1.0205360517700994,True
M13897,2,SeasonalNaive,0.6843829881880611,0.6215091535347386,4.2125885892933566,4.107356599828927,0.25718303657135894,1.0,1.0,2.3351427503284916,3.5557632436971276,True
M13897,2,Theta,0.2069290404892522,0.20834309343440666,1.2370525242996124,1.247806902440953,0.11760749016577646,1.0,1.0,1.368936907460759,2.0866399935829776,True
M13897,2,AutoETS,0.48792536294408767,0.4379623720010298,2.8949769753441434,2.94581990820887,0.17236997880333574,0.8888888888888888,1.0,1.410571521773554,2.1479022509535044,True
M13897,2,AutoARIMA,0.5174229398371119,0.4653703143252118,3.063912349552809,3.121204259181073,0.17913149928061414,0.9444444444444444,1.0,1.4170795352945058,2.1578121184611883,True
M13897,2,Combination,0.39339003698163827,0.35545558506372116,2.341468382931402,2.3750707230142596,0.14582519043668082,1.0,1.0,1.3988626548429393,2.130784787665891,True
M13897,2,TimesFM3,0.4699702928837931,0.42501916311819704,2.7881639133982774,2.8360326926431343,0.17009351698035305,0.2222222222222222,0.5,0.5475257886413779,0.9185127145833464,True
M13918,0,SeasonalNaive,0.8976082251998312,0.6185873185208204,4.06992404615037,3.9784974437935148,0.3269643999473624,1.0,1.0,2.9659983425409955,4.516378232461498,True
M13918,0,Theta,0.6891978046501446,0.485045528566492,3.1071963379520824,3.051335661426175,0.26464016859485257,0.9444444444444444,1.0,2.0418731199349995,3.1285129848217763,True
M13918,0,AutoETS,0.6445187480880445,0.47479867145675064,2.9000070306130397,2.84668526127058,0.2560087778668957,1.0,1.0,2.504201172832135,3.813191499289342,True
M13918,0,AutoARIMA,0.47068279315166167,0.3632533291243647,2.1000337715703923,2.069950523802046,0.2288075076198806,1.0,1.0,2.537396681817425,3.863738889032049,True
M13918,0,Combination,0.5908007340194719,0.4347612085589656,2.6511203294911687,2.6066514429128214,0.24311155956791447,1.0,1.0,2.3611569915281865,3.6018144577143887,True
M13918,0,TimesFM3,0.6167920056841653,0.44369025593592426,2.780344201226551,2.733495630501623,0.22069267184513836,0.4444444444444444,1.0,1.3973625193014712,2.382364666956633,True
M13918,1,SeasonalNaive,0.4885712961774812,0.369646246311407,2.3137712032496274,2.280304204187924,0.25978745399320397,1.0,1.0,2.9556540756950707,4.500626834039037,True
M13918,1,Theta,0.6223347792282128,0.43547121264805305,2.940433993966946,2.8911746537608236,0.24728035401641893,1.0,1.0,2.03233113555849,3.1131815846471587,True
M13918,1,AutoETS,0.6974573145715113,0.48565628856519855,3.300006050860835,3.2387325683280643,0.26164259937961865,1.0,1.0,2.5461359222771707,3.877046285335861,True
M13918,1,AutoARIMA,0.3456139552697573,0.2707041910421265,1.610841570209743,1.5924251163402439,0.20958906360815321,1.0,1.0,2.520431107921773,3.8379051090381284,True
M13918,1,Combination,0.549206847607582,0.39049440096756566,2.5848180702538097,2.545560062787413,0.23191098607039312,1.0,1.0,2.3662993885858112,3.609377659673717,True
M13918,1,TimesFM3,0.76646843878803,0.5345851382125777,3.6421663639498774,3.56713520600565,0.26285149451137035,0.6111111111111112,1.0,1.8221264326685336,2.9084762511673583,True
M13918,2,SeasonalNaive,0.5355964830696361,0.4242960351572534,2.6053412796636644,2.5563672751855324,0.2716241987876834,1.0,1.0,2.9443794670189907,4.483458787626532,True
M13918,2,Theta,0.5152343938580088,0.3717830406247105,2.5043925188170957,2.466748340168583,0.23299373616256921,0.7777777777777778,1.0,2.023736151725918,3.097869759482149,True
M13918,2,AutoETS,0.48117507996119085,0.3494790186928749,2.333984078538332,2.300875506563248,0.22502312587917317,0.9444444444444444,1.0,2.3985957746034052,3.652384288122106,True
M13918,2,AutoARIMA,0.417798379148016,0.3409457873453706,2.015568311720196,1.9857377922172195,0.23406541375843679,0.8333333333333334,1.0,2.486073942119063,3.7855888438754537,True
M13918,2,Combination,0.4544003481136989,0.34488926094102457,2.1978469814256956,2.1658095599618865,0.2253790957644224,0.8333333333333334,1.0,2.302801956149462,3.5119476304932364,True
M13918,2,TimesFM3,0.3735432971751641,0.29669623904703657,1.8065200859048045,1.782703948550077,0.18212567002444632,0.7777777777777778,0.9444444444444444,1.7233652092886291,2.9188367468822207,True
M13922,0,SeasonalNaive,0.6122509127084899,0.6847816650690064,4.055313688887405,4.146399474412816,0.28719903846605993,0.8888888888888888,0.8888888888888888,2.3875861698182668,3.6356197678300908,True
M13922,0,Theta,1.0628822358862335,0.95510899218742,6.954848756695534,7.1963563139422995,0.3788364486651845,0.4444444444444444,0.7222222222222222,1.9664879321133097,3.0285488477374307,True
M13922,0,AutoETS,0.5875540750810816,0.6040851259386674,3.91123460219231,3.980534535966772,0.35362917417179873,1.0,1.0,3.893814205811548,5.929179887980181,True
M13922,0,AutoARIMA,0.8609959366833623,0.7805676255169176,5.666191530491081,5.861387841895592,0.3109242323059215,0.5,0.7777777777777778,1.7471523011202266,2.6604197677380657,True
M13922,0,Combination,0.8126417103375294,0.7570898429512194,5.365124874394903,5.519938773970032,0.321379649738453,0.6111111111111112,1.0,2.535818146348362,3.8727161678185587,True
M13922,0,TimesFM3,1.310759108528218,1.1165111788169093,8.486329956538166,8.895771890951035,0.4819962860079936,0.16666666666666666,0.5,2.012737154907584,3.161778334107149,True
M13922,1,SeasonalNaive,1.5614182936350944,1.4149945219817965,9.956274153831746,10.346753805214345,0.5774539322666697,0.3333333333333333,0.6111111111111112,2.3912732153415446,3.641234097381323,True
